id,start_date,end_date,associate_id,entity,department,division,sub_division,position,job,work_location,cost_center,region,level,is_active,updated_on,external_ref_id,org_code,is_org_head,grade,country,base_work_location,work_permit_status,is_mezzanine_member,is_mtm_member
"12787","2005-07-27 00:00:00","2024-06-03 00:00:00","1","1","1","1","3","28","57","18","CKTXXXMGT",\N,"2","1","2025-03-31 06:00:43",\N,"20001","1",\N,"4",\N,\N,"1","0"
"12788","2005-12-12 00:00:00","2023-02-20 00:00:00","3","1","1461","3","10","116","39","1","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21460","1",\N,"4",\N,\N,"0","0"
"12789","2006-01-08 00:00:00","2022-10-23 00:00:00","6","1","979","3","10","224","47","2","CKTXXXPMO",\N,"7","1","2025-02-03 08:31:39",\N,"20979","0",\N,"4",\N,\N,"0","0"
"12790","2006-01-02 00:00:00","2024-06-16 00:00:00","7","1","21","2","11","104","9","1","CKTXXXOSI",\N,"4","1","2024-07-05 10:52:32",\N,"20021","1",\N,"4",\N,\N,"0","0"
"12791","2007-02-14 00:00:00","2023-06-06 00:00:00","16","1","1089","3","22","117","49","23","CKTXXXMGT",\N,"4","1","2024-07-05 10:52:32",\N,"21089","1",\N,"4",\N,\N,"0","0"
"12792","2006-10-11 00:00:00","2024-09-19 00:00:00","17","1","1489","3","27","206","51","20","CKTKMSSBU","32","4","1","2025-03-31 06:00:43",\N,"21488","1",\N,"4",\N,\N,"0","0"
"12793","2006-10-16 00:00:00","2025-01-12 00:00:00","19","1","1742","1","8","240","44","2","CKTXXXIPO","1","3","1","2025-03-31 06:00:43",\N,"21728","1",\N,"4",\N,\N,"1","0"
"12794","2007-04-02 00:00:00","2023-02-01 00:00:00","29","1","63","1","7","73","52","1","CKTXXXKBS",\N,"3","1","2025-03-31 06:00:43",\N,"20063","1",\N,"4",\N,\N,"0","0"
"12795","2007-07-02 00:00:00","2023-03-23 00:00:00","48","1","1011","3","22","92","2","0","CKTKUPSBU",\N,"3","1","2025-03-31 06:00:43",\N,"21011","1",\N,"4",\N,\N,"0","0"
"12796","2007-07-10 00:00:00","2023-02-21 00:00:00","50","1","1467","3","10","116","39","0","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21466","0",\N,"4",\N,\N,"0","0"
